ADID	Name	Description	GLT_tag	GLT_Desc	Ent DR	EL Act	EL Obj	EL IO	EL Product	EL Process	Int 1 EL	Int 1 Type	Int 2 EL	Int 2 Type	CR1 Subj	CR1 Act	CR1 Obj	FR1 Subj	FR1 Act	FR1 Obj	FR1	WG1	WG1 Terminal Case	CR2	FR2	WG2	WG2 Terminal Case	Dept	Dept PL	Cust EL	Cust Product	Cust Type	Cust Temporal	CC EL	CC Product	CC Type	CC Relation	CC Relation Type	CC Temporal	CofC CR1	CofC FR1	CofC WG1	CofC CR2	CofC FR2	CofC WG2	CofC Terminal Case	CofC Dept	CofC El	CofC Product	CofC Type
3382	Thermal Coal Freight Forwarding for Coal Brokers - PL	These companies perform freight forwarding services on behalf of coal brokers.	5A2	Energy for Equipment or diversified resources Activity Products	(B4ii)	1.2.2	E4i		AP	Outsourced											  	(B4ii) 1.2.2 E4i	Product					(B4ii) 1.2.2 E4i	Main	3.1.2 E4i	RP	Businesses	First								E4i 2.2.2 B4ii	2.2.2 E4iii					2.2.2 E4iii	2.2.2 E4iii	RP	Businesses
3571	Home Furniture: Sold through interior designers - BG	These companies manufacture home furniture and sell through interior designers to consumers	2A1	Equipment manufacturers		2.2.2	B4i		RP	In-house	1.1.2 B4i (C4ii)	Agent						B4i	1.3.2	DivA	B4i 1.3.2 DivA	DivA	DivM					DivA	Main	1.3.2 F	RP	Consumers	First																	
3557	Drivetrains and Control Systems for Wind Turbines	These companies manufacture drivetrains and control systems software for wind turbines. 	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house	2.2.2 B4ii	With Inventory			B3iii	DivS	DivS	B4ii	2.2.2	E4iii	B4ii 2.2.2 E4iii	2.2.2 E4iii	Product					2.2.2 E4iii	Main	2.2.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3556	Boat engine emissions scrubbers - BG	These companies produce equipment that reduces the amount of harmful gases released by large ocean cargo ships	2A1	Equipment manufacturers		2.2.2	B3iii		RP	Outsourced	2.2.2 B4ii	With Inventory			B3iii	2.2.3	E1i	B4ii	1.2.2	DivA	B4ii 1.2.2 DivA	1.2.2 DivA	Product					1.2.2 DivA	Main	(B4ii) 1.2.2 DivA	AP	Businesses	First									(B4ii) 1.2.2 DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3555	Power plant emissions scrubbers	These companies produce equipment that reduces the amount of harmful gases released by power plants	2A1	Equipment manufacturers		2.2.2	B3iii		RP	Outsourced	2.2.2 A4ii	With Inventory			B3iii	2.2.3	E1i	A4ii	1.3.2	B4ii	A4ii 1.3.2 B4ii	2.2.2 E4iii	Product					2.2.2 E4iii	Main	2.2.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3554	Drivetrains for Wind Turbines - BG	These companies manufacture drivetrains to be incorporated into wind turbines. 	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house	2.2.2 B4ii	With Inventory			B3iii	2.2.2	E4iii	B4ii	2.2.2	E4iii	B4ii 2.2.2 E4iii	2.2.2 E4iii	Product					2.2.2 E4iii	Main	2.2.2 E4iii	RP	Businesses	First								E4iii 2.2.2 DivA	DivA					DivA	DivA	Div	Businesses, Consumers, and Governments
3553	Application Performance Analytics Hardware for Businesses sold through Distributors - PL	These companies produce hardware used to carry out network traffic analysis. They sell this hardware to enterprises through equipment retailers.	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house	3.1.2 BdivA	With Inventory			B3iii	2.2.2	C2ii	B4iii	1.2.2	CdivA	B4iii 1.2.2 CdivA	(B4iii) 1.2.2 CdivA	ItS	CdivA DivA DivA		DivA	DivM	DivA	Main	DivA	Div	Businesses	First																	
3713	Distribution of Temporary-Use Personal Products (Cosmetics and Personal Maintenance Product) to Food Retailers - PL	These companies distribute temporary-use personal products such as cosmetics and personal maintenance products, to food retailers. 	2A2	Equipment Distributer		3.1.2	B4i		RP	In-house	(A4ii) 3.1.2 E4divA	With Inventory						B4i	2.2.3	F	B4i 2.2.3 F	2.2.3 F	Product					2.2.3 F	Main	1.3.2 F	RP	Consumers	First																	
3551	Application Performance Analytics Hardware for Government through Distributors - PL	These companies produce hardware used to carry out network traffic analysis. They sell this hardware to governments through equipment retailers.	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house	3.1.2 BdivA	With Inventory			B3iii	2.2.2	C2ii	B4iii	1.2.2	CdivA	B4iii 1.2.2 CdivA	(B4iii) 1.2.2 CdivA	ItS	CdivA DivA DivA		DivA	DivM	DivA	Auxiliary	4.2.2 F	AP	Governments	First																	
3550	Application Performance Analytics Hardware for Government, Direct Sales  - BG	These companies produce hardware used to carry out network traffic analysis. They sell this hardware directly to governments.	2A1	Equipment manufacturers		2.2.2	B3iii		RP	In-house					B3iii	2.2.2	C2ii	B4iii	1.2.2	CdivA	B4iii 1.2.2 CdivA	(B4iii) 1.2.2 CdivA	ItS	CdivA DivA DivA		DivA	DivM	DivA	Auxiliary	4.2.2 F	AP	Governments	First																	
